"","date","date1","mon","weekday","mean_price","trade","mean_T","min_T","max_T","prec","max_ws","mean_ws","rh","light","prec1","pre.price"
"126",2014-09-26,2011-09-26,"09","금요일",15000,21,20.0508249496982,16.1787525150905,26.4972635814889,0,3.77529175050302,1.25002012072435,78.7888531187123,5.36969818913481,"0",17517
"127",2014-09-29,2011-09-29,"09","월요일",22418,67,19.9408853118712,13.9917907444668,27.5027766599598,0,3.37979879275654,1.13150905432596,78.027847082495,7.00277665995976,"0",15000
"128",2014-10-01,2011-10-01,"10","수요일",21946,28,17.8129175050302,15.6148490945674,20.6431790744467,0.00309859154929578,4.76981891348089,2.021046277666,80.7879275653924,0.808692152917505,"1",22418
"130",2015-07-01,2011-07-01,"07","수요일",8994,166,20.8102213279678,18.5035412474849,25.3706237424547,10.2241448692153,2.8112676056338,0.990543259557344,83.8121126760563,0.0981086519114688,"2",22740
"131",2015-07-04,2011-07-04,"07","토요일",10463,81,23.0576659959759,17.5354929577465,30.0907042253521,0,4.13613682092555,1.81460764587525,63.4662374245473,8.94515090543259,"0",8994
"132",2015-07-07,2011-07-07,"07","화요일",13167,39,21.689014084507,18.2993561368209,26.4005633802817,0.133400402414487,4.38132796780684,2.03835010060362,70.3207243460764,5.26672032193159,"1",10463
"133",2015-07-08,2011-07-08,"07","수요일",8538,40,18.686921529175,17.0225352112676,21.4970623742455,27.8731187122736,3.01315895372233,1.24438631790744,88.9031790744467,0.00853118712273642,"2",13167
"134",2015-07-11,2011-07-11,"07","토요일",11992,62,23.1140040241449,19.6485714285714,27.7946478873239,0,4.06116700201207,1.91927565392354,80.6693360160966,6.56567404426559,"0",8538
"135",2015-07-13,2011-07-13,"07","월요일",5704,27,24.8185110663984,23.5927565392354,26.4871629778672,14.5562173038229,5.89710261569417,2.97102615694165,88.7161368209255,0,"2",11992
"136",2015-07-15,2011-07-15,"07","수요일",9410,39,26.7911871227364,20.9521931589537,32.500523138833,0,3.78068410462777,1.51822937625755,66.7476056338028,7.56253521126761,"0",5704
"137",2015-07-16,2011-07-16,"07","목요일",9583,48,24.8006036217304,19.9432997987928,31.3627364185111,0.0426559356136821,4.87376257545272,1.88221327967807,71.8529577464789,9.01883299798793,"1",9410
"138",2015-07-20,2011-07-20,"07","월요일",9905,63,22.6886921529175,18.7003621730382,27.5419315895372,0,4.13738430583501,1.85505030181087,68.2805633802817,3.85472837022133,"0",9583
"139",2015-07-21,2011-07-21,"07","화요일",10500,20,21.9904225352113,18.6332796780684,25.2222132796781,1.14446680080483,3.36659959758551,1.71472837022133,86.3189134808853,0.021327967806841,"1",9905
"140",2015-07-24,2011-07-24,"07","금요일",5482,57,26.9686519114688,23.4802012072435,30.7239034205231,0.262012072434608,3.80124748490946,1.3656338028169,79.4160563380282,1.4512676056338,"1",10500
"141",2015-07-27,2011-07-27,"07","월요일",14542,24,28.1321931589537,20.6590744466801,35.5411670020121,0,3.85686116700201,1.32704225352113,65.8461971830986,11.7821730382294,"0",5482
"142",2015-07-29,2011-07-29,"07","수요일",4500,16,29.0778269617706,24.6695774647887,34.9622937625754,0.473561368209256,4.18643863179074,1.82229376257545,67.6821327967807,5.94285714285714,"1",14542
"143",2015-07-30,2011-07-30,"07","목요일",4313,67,28.1709456740443,24.1866800804829,32.5107444668008,2.29352112676056,4.26547283702213,1.18901408450704,78.5247484909457,4.74901408450704,"2",4500
"144",2015-08-04,2011-08-04,"08","화요일",6226,62,29.6234205231388,23.7849899396378,36.5323943661972,0,3.8615291750503,1.58446680080483,63.2980684104628,11.5723943661972,"0",4313
"145",2015-08-10,2011-08-10,"08","월요일",12350,20,27.4988329979879,22.54,34.3444668008048,0,3.69653923541247,1.50020120724346,72.4505030181087,8.09545271629779,"0",6226
"146",2015-08-11,2011-08-11,"08","화요일",6905,37,27.1508651911469,22.1798390342052,33.4984708249497,0,3.69106639839034,1.37243460764588,68.1210060362173,3.15219315895372,"0",12350
"147",2015-08-12,2011-08-12,"08","수요일",5500,20,26.3043460764588,21.3053521126761,31.4635412474849,2.10865191146881,2.98366197183099,1.13810865191147,70.1901408450704,0.323138832997988,"2",6905
"148",2015-08-13,2011-08-13,"08","목요일",21459,61,21.6381891348089,19.723138832998,23.5762977867203,20.7902213279678,2.59014084507042,1.10177062374245,94.5084104627767,0.0725150905432596,"2",5500
"149",2015-08-15,2011-08-15,"08","토요일",18058,43,25.0845472837022,20.8761368209256,31.9908249496982,1.06112676056338,3.96370221327968,1.32575452716298,78.0277665995976,8.14036217303823,"1",21459
"150",2015-08-17,2011-08-17,"08","월요일",20491,109,25.0997987927565,21.8018913480885,29.7133199195171,5.79818913480885,3.96953722334004,1.54048289738431,82.0149295774648,1.7656338028169,"2",18058
"151",2015-08-19,2011-08-19,"08","수요일",12437,55,24.1649899396378,19.5765794768612,29.5746076458753,0,4.20607645875251,1.51758551307847,75.8175050301811,4.85714285714286,"0",20491
"152",2015-08-20,2011-08-20,"08","목요일",15919,86,24.3665593561368,19.76953722334,28.6987525150905,0,3.82209255533199,1.41018108651911,76.8414486921529,1.20559356136821,"0",12437
"153",2015-08-21,2011-08-21,"08","금요일",14131,133,23.052555331992,21.5061167002012,25.4722334004024,4.19995975855131,1.81352112676056,0.731710261569416,91.1602012072435,0.0991146881287726,"2",15919
"154",2015-08-22,2011-08-22,"08","토요일",15041,49,22.8972635814889,20.396338028169,28.626277665996,23.269014084507,3.59939637826962,0.98486921529175,87.4837826961771,2.8482092555332,"2",14131
"155",2015-08-24,2011-08-24,"08","월요일",14231,158,24.9791951710262,21.4201207243461,29.7387927565392,0.19738430583501,3.45919517102616,1.14112676056338,80.1602816901408,2.478953722334,"1",15041
"156",2015-08-25,2011-08-25,"08","화요일",14625,68,24.5032595573441,22.057907444668,27.1528772635815,2.76748490945674,4.80672032193159,2.19907444668008,79.1129175050302,0.617867203219316,"2",14231
"157",2015-08-27,2011-08-27,"08","목요일",11361,18,22.0547283702213,18.6156539235412,28.0967002012072,0.0907444668008048,4.14490945674044,1.49871227364185,79.4140845070422,4.29806841046278,"1",14625
"158",2015-08-28,2011-08-28,"08","금요일",17961,115,22.8266800804829,16.7568209255533,30.0111468812877,0.173239436619718,4.09565392354125,1.35098591549296,77.0143259557344,6.3035814889336,"1",11361
"159",2015-08-29,2011-08-29,"08","토요일",22911,96,23.0733601609658,17.892032193159,30.4246680080483,2.39919517102616,4.07456740442656,1.0092152917505,81.2496579476861,6.75839034205231,"2",17961
"160",2015-08-31,2011-08-31,"08","월요일",16880,112,22.9348088531187,17.6157344064386,29.572152917505,0,2.72040241448692,1.07525150905433,79.2238631790744,5.38643863179074,"0",22911
"161",2015-09-01,2011-09-01,"09","화요일",18925,80,23.3246277665996,18.9854728370221,28.8091750503018,0,4.16776659959759,1.64776659959759,78.0053118712274,6.66434607645875,"0",16880
"162",2015-09-02,2011-09-02,"09","수요일",15609,114,23.0402816901408,20.1228973843058,27.5231790744467,15.9437424547284,3.1892152917505,1.28603621730382,81.7243058350101,1.05106639839034,"2",18925
"163",2015-09-03,2011-09-03,"09","목요일",15817,52,22.4318309859155,19.8391549295775,27.8845472837022,22.467847082495,5.35923541247485,1.32374245472837,86.0430985915493,3.64136820925553,"2",15609
"164",2015-09-04,2011-09-04,"09","금요일",19683,180,22.8461167002012,19.3951710261569,28.6827364185111,0,3.46301810865191,1.27098591549296,82.0901408450704,5.32498993963783,"0",15817
"165",2015-09-05,2011-09-05,"09","토요일",19257,111,22.9055533199195,17.6864386317907,29.4717102615694,0,3.58752515090543,1.45863179074447,75.2902615694165,8.98523138832998,"0",19683
"166",2015-09-07,2011-09-07,"09","월요일",23557,122,19.8338430583501,17.0159356136821,22.8872837022133,2.79134808853119,4.00321931589537,1.44116700201207,85.375814889336,0.220523138832998,"2",19257
"167",2015-09-08,2011-09-08,"09","화요일",23982,224,19.7202012072435,15.0106237424547,25.7078068410463,0,4.87038229376258,1.85810865191147,71.0246680080483,10.0648692152918,"0",23557
"168",2015-09-09,2011-09-09,"09","수요일",21127,185,18.8892152917505,11.7582293762575,25.1801207243461,0,5.15682092555332,1.99138832997988,65.7820523138833,9.56933601609658,"0",23982
"169",2015-09-10,2011-09-10,"09","목요일",22986,113,19.4827766599598,12.0217303822938,27.8458350100604,0,4.21219315895372,1.6307444668008,62.8299798792757,11.3357344064386,"0",21127
"170",2015-09-11,2011-09-11,"09","금요일",17680,103,19.7092152917505,11.0106237424547,28.0897786720322,0,2.9733199195171,1.13625754527163,67.5837424547284,11.55046277666,"0",22986
"171",2015-09-12,2011-09-12,"09","토요일",8819,83,21.8907042253521,13.9649496981891,29.2053923541247,0,3.50728370221328,1.22008048289738,68.5200402414487,8.29859154929578,"0",17680
"172",2015-09-14,2011-09-14,"09","월요일",20789,109,18.3986720321932,12.1279275653924,26.3857142857143,0,4.79621730382294,1.58740442655936,67.3847887323944,10.8991549295775,"0",8819
"173",2015-09-15,2011-09-15,"09","화요일",15029,119,17.9010865191147,10.5722736418511,26.3801609657948,0,3.99191146881288,1.38623742454728,67.3676458752515,11.0861167002012,"0",20789
"174",2015-09-16,2011-09-16,"09","수요일",19550,69,17.3691750503018,10.9371026156942,24.1997987927565,0,5.18607645875251,1.81448692152918,69.4618108651911,9.05613682092555,"0",15029
"175",2015-09-21,2011-09-21,"09","월요일",9558,26,19.5491348088531,13.4797585513078,27.3345271629779,0,2.55649899396378,0.981368209255533,78.0331187122736,5.77195171026157,"0",19550
"176",2015-09-23,2011-09-23,"09","수요일",10136,33,19.3709054325956,13.1275251509054,27.205754527163,0,3.81967806841046,1.43678068410463,74.3999195171026,9.84237424547284,"0",9558
"177",2015-09-25,2011-09-25,"09","금요일",5391,32,20.1833400402415,16.9233400402414,23.6258350100604,1.72193158953722,3.52136820925553,1.23243460764588,86.7649496981891,0.153199195171026,"1",10136
"179",2016-06-29,2011-06-29,"06","수요일",13855,76,22.6449899396378,17.4525955734406,29.1338832997988,0,3.44575452716298,1.42253521126761,70.1826559356137,4.6138430583501,"0",5688
"180",2016-06-30,2011-06-30,"06","목요일",12200,45,22.9796780684105,18.8233400402414,27.1683299798793,0.074486921529175,3.15714285714286,1.2758953722334,73.8148088531187,1.65255533199195,"1",13855
"181",2016-07-01,2011-07-01,"07","금요일",10619,109,25.3564587525151,18.951106639839,32.3711871227364,1.57585513078471,4.25364185110664,1.60997987927565,72.1886116700201,7.19408450704225,"1",12200
"182",2016-07-02,2011-07-02,"07","토요일",9491,56,25.1448692152917,22.7091750503018,29.5648289738431,29.9761770623742,3.07927565392354,1.31657947686117,83.7769014084507,1.16132796780684,"2",10619
"183",2016-07-04,2011-07-04,"07","월요일",15960,100,22.9590744466801,20.4799195171026,26.7982293762575,21.006921529175,2.44712273641851,1.07625754527163,90.8901006036217,0.0554527162977867,"2",9491
